Gender,Age Range,Impressions,Percent of known total
Male,18-24,115,8.31%
Male,25-34,235,16.98%
Male,35-44,189,13.66%
Male,45-54,143,10.33%
Male,55-64,104,7.51%
Male,65+,75,5.42%
Female,18-24,72,5.20%
Female,25-34,132,9.54%
Female,35-44,99,7.15%
Female,45-54,85,6.14%
Female,55-64,86,6.21%
Female,65+,49,3.54%
