Date,Clicks,Impressions,Avg. CPC,Cost
"Tue, Aug 2, 2022",5,57,$7.50,$37.49
"Wed, Aug 3, 2022",5,48,$6.51,$32.56
"Thu, Aug 4, 2022",3,154,$4.47,$13.41
"Fri, Aug 5, 2022",3,100,$8.78,$26.35
"Sat, Aug 6, 2022",1,52,$0.95,$0.95
"Sun, Aug 7, 2022",2,36,$19.73,$39.45
"Mon, Aug 8, 2022",9,117,$6.53,$58.76
"Tue, Aug 9, 2022",1,15,$41.18,$41.18
"Wed, Aug 10, 2022",4,96,$9.02,$36.09
"Thu, Aug 11, 2022",4,97,$3.18,$12.71
"Fri, Aug 12, 2022",6,50,$6.88,$41.30
"Sat, Aug 13, 2022",4,59,$2.68,$10.73
"Sun, Aug 14, 2022",5,78,$4.59,$22.97
"Mon, Aug 15, 2022",3,59,$9.51,$28.52
"Tue, Aug 16, 2022",2,66,$13.22,$26.44
"Wed, Aug 17, 2022",4,30,$10.11,$40.45
"Thu, Aug 18, 2022",6,127,$3.14,$18.85
"Fri, Aug 19, 2022",4,85,$11.19,$44.77
"Sat, Aug 20, 2022",3,29,$5.27,$15.81
"Sun, Aug 21, 2022",2,28,$3.51,$7.02
"Mon, Aug 22, 2022",6,115,$7.14,$42.85
"Tue, Aug 23, 2022",7,82,$6.59,$46.11
"Wed, Aug 24, 2022",2,122,$0.85,$1.70
"Thu, Aug 25, 2022",7,165,$8.37,$58.57
"Fri, Aug 26, 2022",3,59,$7.87,$23.61
"Sat, Aug 27, 2022",4,64,$4.29,$17.15
"Sun, Aug 28, 2022",4,42,$4.71,$18.85
"Mon, Aug 29, 2022",3,39,$8.32,$24.95
"Tue, Aug 30, 2022",6,30,$4.05,$24.29
"Wed, Aug 31, 2022",2,80,$1.52,$3.05
