Gender,Age Range,Impressions,Percent of known total
Male,18-24,95,7.39%
Male,25-34,227,17.67%
Male,35-44,180,14.01%
Male,45-54,129,10.04%
Male,55-64,114,8.87%
Male,65+,58,4.51%
Female,18-24,72,5.60%
Female,25-34,131,10.19%
Female,35-44,86,6.69%
Female,45-54,73,5.68%
Female,55-64,71,5.53%
Female,65+,49,3.81%
