Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,17.89%,17.89%,No data,No data,No data,No data,80.37%,80.37%,No data,No data
realmediakc.com,< 10%,< 10%,16.75%,16.75%,16.87%,16.87%,62.90%,62.90%,37.74%,37.74%
vimeo.com,< 10%,< 10%,17.49%,17.49%,3.15%,3.15%,86.79%,86.79%,70.83%,70.83%
