Gender,Age Range,Impressions,Percent of known total
Male,18-24,"141,796",93.19%
Male,25-34,"1,400",0.92%
Male,35-44,"1,151",0.76%
Male,45-54,"1,504",0.99%
Male,55-64,781,0.51%
Male,65+,613,0.40%
Female,18-24,"1,336",0.88%
Female,25-34,"1,654",1.09%
Female,35-44,813,0.53%
Female,45-54,413,0.27%
Female,55-64,417,0.27%
Female,65+,273,0.18%
