Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,42
64012,967
64014,584
64015,"1,223"
64016,6
64018,33
64019,34
64020,2
64024,636
64029,800
64030,269
64034,287
64037,172
64040,250
64048,123
64050,480
64052,363
64053,106
64054,50
64055,863
64056,471
64057,442
64058,143
64060,"1,009"
64061,48
64062,217
64063,260
64064,438
64067,58
64068,"2,715"
64070,103
64071,1
64075,437
64076,253
64077,51
64078,397
64079,715
64080,590
64081,421
64082,374
64083,513
64084,2
64085,192
64086,761
64088,117
64089,752
64097,30
64098,157
64106,202
64108,"1,746"
64109,67
64110,215
64111,459
64112,378
64113,415
64114,876
64116,837
64117,133
64118,802
64119,361
64120,90
64123,80
64124,31
64125,9
64126,4
64127,132
64128,2
64129,265
64130,195
64131,529
64132,252
64133,"1,576"
64134,217
64136,2
64137,277
64138,466
64139,6
64145,270
64146,21
64149,100
64150,145
64151,955
64152,960
64153,302
64154,102
64155,371
64156,47
64157,269
64158,44
64161,16
64163,20
64164,5
64165,22
64166,61
64401,78
64429,7
64439,30
64448,211
64454,73
64465,160
64477,104
64490,45
64492,15
64493,8
64501,286
64503,267
64504,225
64505,10
64506,103
64507,387
64671,68
64701,574
64734,50
64742,26
64746,42
64747,158
65616,"2,088"
65802,"1,119"
65803,869
65804,"1,169"
65806,62
65807,"1,694"
65809,235
65810,531
66002,424
66006,426
66007,352
66012,113
66013,83
66018,395
66020,17
66021,8
66025,70
66027,105
66030,"1,203"
66031,5
66043,193
66044,"1,426"
66045,1
66046,585
66047,752
66048,"1,040"
66049,"1,761"
66050,60
66052,91
66053,419
66054,27
66061,"1,979"
66062,"1,959"
66064,147
66066,112
66067,16
66070,34
66071,341
66073,144
66083,607
66085,406
66086,198
66090,91
66092,149
66101,196
66102,86
66103,470
66104,451
66105,64
66106,460
66109,765
66111,"1,048"
66112,3
66202,316
66203,396
66204,758
66205,443
66206,483
66207,472
66208,193
66209,889
66210,692
66211,434
66212,890
66213,"1,007"
66214,430
66215,639
66216,632
66217,117
66218,268
66219,620
66220,115
66221,635
66223,765
66224,778
66226,399
66227,304
66512,3
Branson,0
Springfield,0
