Gender,Age Range,Impressions,Percent of known total
Male,18-24,131,7.99%
Male,25-34,263,16.04%
Male,35-44,234,14.27%
Male,45-54,169,10.30%
Male,55-64,101,6.16%
Male,65+,58,3.54%
Female,18-24,106,6.46%
Female,25-34,175,10.67%
Female,35-44,140,8.54%
Female,45-54,122,7.44%
Female,55-64,87,5.30%
Female,65+,54,3.29%
