Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,26.58%,26.58%,No data,No data,No data,No data,76.56%,76.56%,No data,No data
realmediakc.com,< 10%,< 10%,24.00%,24.00%,20.18%,20.18%,71.43%,71.43%,48.15%,48.15%
thumbtack.com,< 10%,< 10%,25.67%,25.67%,8.70%,8.70%,72.27%,72.27%,39.26%,39.26%
bark.com,< 10%,< 10%,25.75%,25.75%,11.05%,11.05%,59.15%,59.15%,28.50%,28.50%
vimeo.com,< 10%,< 10%,25.82%,25.82%,3.36%,3.36%,87.29%,87.29%,85.71%,85.71%
frostmediagroup.com,< 10%,< 10%,25.52%,25.52%,12.39%,12.39%,72.75%,72.75%,32.33%,32.33%
upwork.com,< 10%,< 10%,25.28%,25.28%,8.54%,8.54%,82.98%,82.98%,57.50%,57.50%
