Gender,Age Range,Impressions,Percent of known total
Male,18-24,152,10.22%
Male,25-34,241,16.21%
Male,35-44,191,12.84%
Male,45-54,147,9.89%
Male,55-64,113,7.60%
Male,65+,64,4.30%
Female,18-24,88,5.92%
Female,25-34,152,10.22%
Female,35-44,112,7.53%
Female,45-54,88,5.92%
Female,55-64,86,5.78%
Female,65+,53,3.56%
