Date,Clicks,Impressions,Avg. CPC,Cost
"Fri, Jun 3, 2022",3,24,$9.74,$29.22
"Sat, Jun 4, 2022",6,72,$4.26,$25.56
"Sun, Jun 5, 2022",3,72,$3.52,$10.57
"Mon, Jun 6, 2022",8,132,$6.23,$49.82
"Tue, Jun 7, 2022",6,154,$6.02,$36.10
"Wed, Jun 8, 2022",8,154,$5.02,$40.17
"Thu, Jun 9, 2022",6,82,$6.18,$37.09
"Fri, Jun 10, 2022",5,86,$5.59,$27.96
"Sat, Jun 11, 2022",4,54,$3.68,$14.72
"Sun, Jun 12, 2022",3,64,$2.83,$8.48
"Mon, Jun 13, 2022",11,169,$3.37,$37.08
"Tue, Jun 14, 2022",9,152,$5.84,$52.60
"Wed, Jun 15, 2022",8,141,$6.45,$51.59
"Thu, Jun 16, 2022",6,75,$8.38,$50.28
"Fri, Jun 17, 2022",2,66,$9.24,$18.48
"Sat, Jun 18, 2022",4,36,$4.40,$17.60
"Sun, Jun 19, 2022",3,40,$3.67,$11.00
"Mon, Jun 20, 2022",5,48,$11.39,$56.94
"Tue, Jun 21, 2022",1,83,$6.64,$6.64
"Wed, Jun 22, 2022",6,132,$3.60,$21.58
"Thu, Jun 23, 2022",8,65,$5.54,$44.29
"Fri, Jun 24, 2022",6,58,$3.45,$20.71
"Sat, Jun 25, 2022",6,61,$4.45,$26.70
"Sun, Jun 26, 2022",1,49,$3.22,$3.22
"Mon, Jun 27, 2022",6,173,$7.38,$44.29
"Tue, Jun 28, 2022",7,168,$7.27,$50.89
"Wed, Jun 29, 2022",4,61,$10.68,$42.70
"Thu, Jun 30, 2022",2,32,$8.37,$16.73
"Fri, Jul 1, 2022",6,34,$5.65,$33.90
"Sat, Jul 2, 2022",3,64,$14.55,$43.66
