Gender,Age Range,Impressions,Percent of known total
Male,18-24,160,9.61%
Male,25-34,248,14.89%
Male,35-44,191,11.47%
Male,45-54,136,8.17%
Male,55-64,132,7.93%
Male,65+,69,4.14%
Female,18-24,96,5.77%
Female,25-34,214,12.85%
Female,35-44,100,6.01%
Female,45-54,117,7.03%
Female,55-64,125,7.51%
Female,65+,77,4.62%
