Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,31.52%,31.52%,No data,No data,No data,No data,76.80%,76.80%,No data,No data
realmediakc.com,< 10%,< 10%,28.76%,28.76%,20.12%,20.12%,75.74%,75.74%,43.53%,43.53%
thumbtack.com,< 10%,< 10%,30.44%,30.44%,9.00%,9.00%,70.98%,70.98%,37.89%,37.89%
frostmediagroup.com,< 10%,< 10%,29.77%,29.77%,17.66%,17.66%,68.63%,68.63%,31.37%,31.37%
bark.com,< 10%,< 10%,30.65%,30.65%,9.23%,9.23%,58.39%,58.39%,29.74%,29.74%
vimeo.com,< 10%,< 10%,30.77%,30.77%,2.98%,2.98%,87.22%,87.22%,79.37%,79.37%
upwork.com,< 10%,< 10%,30.23%,30.23%,8.05%,8.05%,76.25%,76.25%,50.59%,50.59%
hydraulicstudio.com,< 10%,< 10%,30.25%,30.25%,11.84%,11.84%,70.60%,70.60%,34.00%,34.00%
