Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"3,398"
10 AM,"3,489"
11 AM,"3,203"
12 PM,"3,285"
1 PM,"3,679"
2 PM,"2,583"
3 PM,"1,982"
4 PM,"1,091"
5 PM,579
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
