Age Range,Impressions,Percent of known total
18-24,"3,123",17.74%
25-34,"3,994",22.68%
35-44,"4,201",23.86%
45-54,"2,553",14.50%
55-64,"2,947",16.74%
65+,"2,980",16.93%
