Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,79.79%,79.79%,No data,No data
frostmediagroup.com,< 10%,< 10%,7.30%,7.30%,16.77%,16.77%,76.87%,76.87%,51.79%,51.79%
localeyesit.com,< 10%,< 10%,7.74%,7.74%,4.34%,4.34%,86.92%,86.92%,72.41%,72.41%
