Date,Clicks,Impressions,Avg. CPC,Cost
"Tue, Feb 28, 2023",6,323,$4.07,$24.45
"Wed, Mar 1, 2023",16,"1,333",$1.61,$25.80
"Thu, Mar 2, 2023",8,"1,584",$3.52,$28.15
"Fri, Mar 3, 2023",15,"1,747",$1.50,$22.50
"Sat, Mar 4, 2023",9,968,$1.91,$17.18
"Sun, Mar 5, 2023",13,"1,706",$2.34,$30.39
"Mon, Mar 6, 2023",2,91,$5.26,$10.53
"Tue, Mar 7, 2023",7,738,$2.19,$15.30
"Wed, Mar 8, 2023",7,638,$2.88,$20.14
"Thu, Mar 9, 2023",11,"1,386",$0.97,$10.65
"Fri, Mar 10, 2023",6,876,$3.15,$18.93
"Sat, Mar 11, 2023",9,578,$1.92,$17.31
"Sun, Mar 12, 2023",9,729,$2.03,$18.30
"Mon, Mar 13, 2023",13,"1,144",$1.19,$15.41
"Tue, Mar 14, 2023",7,477,$2.22,$15.51
"Wed, Mar 15, 2023",14,904,$1.37,$19.13
"Thu, Mar 16, 2023",10,"1,259",$2.95,$29.51
"Fri, Mar 17, 2023",12,440,$2.11,$25.26
"Sat, Mar 18, 2023",7,550,$3.88,$27.16
"Sun, Mar 19, 2023",8,575,$1.47,$11.79
"Mon, Mar 20, 2023",8,552,$3.76,$30.10
"Tue, Mar 21, 2023",8,"1,076",$0.94,$7.48
"Wed, Mar 22, 2023",10,515,$2.23,$22.27
"Thu, Mar 23, 2023",12,519,$1.90,$22.83
"Fri, Mar 24, 2023",10,425,$1.71,$17.13
"Sat, Mar 25, 2023",10,536,$1.51,$15.14
"Sun, Mar 26, 2023",12,299,$0.98,$11.75
"Mon, Mar 27, 2023",12,412,$1.20,$14.40
"Tue, Mar 28, 2023",16,695,$1.27,$20.32
"Wed, Mar 29, 2023",11,214,$2.65,$29.17
