Gender,Age Range,Impressions,Percent of known total
Male,18-24,"2,278",12.94%
Male,25-34,"2,445",13.89%
Male,35-44,"2,640",14.99%
Male,45-54,"1,542",8.76%
Male,55-64,"1,577",8.96%
Male,65+,"1,224",6.95%
Female,18-24,514,2.92%
Female,25-34,"1,170",6.65%
Female,35-44,"1,128",6.41%
Female,45-54,840,4.77%
Female,55-64,"1,118",6.35%
Female,65+,"1,131",6.42%
