Date,Clicks,Impressions,Avg. CPC,Cost
"Sun, Aug 27, 2023",12,"4,205",$1.13,$13.53
"Mon, Aug 28, 2023",18,"4,152",$0.79,$14.30
"Tue, Aug 29, 2023",18,"11,174",$0.92,$16.55
"Wed, Aug 30, 2023",15,"6,555",$0.90,$13.49
"Thu, Aug 31, 2023",13,"5,691",$0.93,$12.06
"Fri, Sep 1, 2023",13,"4,248",$0.81,$10.59
"Sat, Sep 2, 2023",18,"8,181",$0.74,$13.24
"Sun, Sep 3, 2023",26,"4,497",$0.60,$15.50
"Mon, Sep 4, 2023",16,"6,349",$0.78,$12.40
"Tue, Sep 5, 2023",15,"5,182",$0.84,$12.55
"Wed, Sep 6, 2023",19,"10,509",$1.06,$20.14
"Thu, Sep 7, 2023",12,"7,412",$1.05,$12.54
"Fri, Sep 8, 2023",9,"1,840",$1.26,$11.38
"Sat, Sep 9, 2023",6,"1,207",$2.09,$12.54
"Sun, Sep 10, 2023",11,"3,481",$1.15,$12.68
"Mon, Sep 11, 2023",5,"1,564",$3.28,$16.41
"Tue, Sep 12, 2023",2,"3,071",$0.29,$0.57
"Wed, Sep 13, 2023",5,"1,599",$7.87,$39.34
"Thu, Sep 14, 2023",14,"3,996",$2.94,$41.19
"Fri, Sep 15, 2023",10,"3,776",$4.03,$40.25
"Sat, Sep 16, 2023",11,"6,039",$2.09,$22.99
"Sun, Sep 17, 2023",16,"4,730",$1.78,$28.41
"Mon, Sep 18, 2023",18,"8,209",$2.24,$40.38
"Tue, Sep 19, 2023",6,"3,849",$5.83,$34.97
"Wed, Sep 20, 2023",7,"3,037",$3.37,$23.60
"Thu, Sep 21, 2023",4,"1,606",$5.51,$22.05
"Fri, Sep 22, 2023",7,"7,958",$3.36,$23.54
"Sat, Sep 23, 2023",14,"7,914",$1.64,$22.95
"Sun, Sep 24, 2023",9,"2,735",$1.19,$10.70
"Mon, Sep 25, 2023",16,"8,183",$1.26,$20.08
