Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"67,323"
10 AM,"44,750"
11 AM,"21,121"
12 PM,"8,760"
1 PM,"5,183"
2 PM,"1,646"
3 PM,"1,540"
4 PM,"2,180"
5 PM,446
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
