Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
63121,1
64011,43
64012,876
64014,531
64015,953
64016,8
64018,23
64019,2
64020,4
64024,567
64029,995
64030,414
64034,270
64037,114
64040,209
64048,98
64050,323
64052,293
64053,162
64054,102
64055,783
64056,494
64057,462
64058,291
64060,773
64061,53
64062,170
64063,228
64064,540
64067,39
64068,"1,643"
64070,130
64071,3
64075,311
64076,326
64077,55
64078,480
64079,548
64080,430
64081,312
64082,434
64083,696
64085,190
64086,"1,049"
64088,94
64089,641
64097,32
64098,132
64106,164
64108,717
64109,148
64110,255
64111,479
64112,332
64113,289
64114,697
64116,831
64117,170
64118,804
64119,570
64120,101
64123,69
64124,65
64125,44
64126,7
64127,304
64128,20
64129,306
64130,212
64131,705
64132,286
64133,"1,436"
64134,485
64136,25
64137,211
64138,483
64139,39
64145,298
64146,3
64149,65
64150,188
64151,"1,314"
64152,933
64153,296
64154,21
64155,453
64156,49
64157,772
64158,74
64161,20
64163,74
64164,13
64165,22
64166,9
64401,90
64439,53
64448,41
64454,80
64465,147
64470,1
64477,152
64490,63
64492,11
64493,3
64501,255
64503,246
64504,261
64505,2
64506,195
64507,340
64671,37
64701,509
64725,1
64734,78
64742,80
64746,104
64747,166
64761,2
65037,2
65053,1
65616,"1,398"
65714,2
65757,2
65775,1
65802,653
65803,751
65804,998
65806,169
65807,"1,070"
65809,193
65810,430
66002,415
66006,437
66007,282
66012,31
66013,93
66018,269
66020,25
66021,6
66025,186
66027,116
66030,"1,062"
66031,60
66032,1
66043,106
66044,"1,103"
66046,496
66047,492
66048,"1,013"
66049,"1,469"
66050,55
66052,102
66053,250
66054,73
66061,"1,407"
66062,"1,930"
66064,254
66066,58
66067,1
66070,32
66071,381
66073,127
66083,538
66085,400
66086,162
66088,2
66090,114
66092,162
66101,307
66102,243
66103,377
66104,569
66105,75
66106,810
66109,687
66111,"1,213"
66112,105
66202,380
66203,211
66204,722
66205,459
66206,558
66207,409
66208,206
66209,701
66210,717
66211,362
66212,"1,010"
66213,"1,122"
66214,344
66215,"1,079"
66216,588
66217,76
66218,243
66219,701
66220,114
66221,669
66223,787
66224,513
66226,493
66227,153
66502,2
66536,1
66743,1
66749,4
67030,4
67037,5
67052,1
67074,1
67212,2
67214,3
67217,2
67219,8
67357,1
67401,4
67410,1
67460,1
67502,1
67554,1
68528,1
71913,4
72901,1
Branson,0
Springfield,0
