Age Range,Impressions,Percent of known total
18-24,"126,100",157.55%
25-34,"5,451",6.81%
35-44,"3,293",4.11%
45-54,"2,509",3.13%
55-64,"2,662",3.33%
65+,"1,473",1.84%
