Gender,Age Range,Impressions,Percent of known total
Male,18-24,"64,753",80.90%
Male,25-34,"2,545",3.18%
Male,35-44,"1,544",1.93%
Male,45-54,"1,475",1.84%
Male,55-64,"1,296",1.62%
Male,65+,631,0.79%
Female,18-24,"2,028",2.53%
Female,25-34,"1,966",2.46%
Female,35-44,"1,308",1.63%
Female,45-54,571,0.71%
Female,55-64,"1,206",1.51%
Female,65+,713,0.89%
