Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,13.00%,13.00%,No data,No data,No data,No data,76.08%,76.08%,No data,No data
realmediakc.com,10.56%,10.56%,11.58%,11.58%,19.61%,19.61%,74.40%,74.40%,56.00%,56.00%
