Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
63105,1
63110,2
63501,3
64011,92
64012,906
64014,818
64015,"1,572"
64016,26
64018,15
64019,12
64020,4
64024,950
64029,"1,071"
64030,295
64034,205
64037,235
64040,454
64048,279
64050,642
64052,380
64053,82
64054,42
64055,"1,393"
64056,665
64057,569
64058,212
64060,"1,410"
64061,103
64062,388
64063,387
64064,550
64067,172
64068,"2,362"
64070,143
64071,2
64075,323
64076,418
64077,18
64078,549
64079,"1,039"
64080,634
64081,561
64082,417
64083,738
64085,301
64086,"1,386"
64088,137
64089,"1,089"
64093,6
64097,66
64098,149
64106,225
64108,"4,509"
64109,118
64110,264
64111,509
64112,272
64113,404
64114,826
64116,791
64117,207
64118,944
64119,"1,029"
64120,114
64123,131
64124,41
64125,19
64126,3
64127,135
64129,256
64130,148
64131,509
64132,220
64133,"1,662"
64134,292
64136,8
64137,285
64138,602
64139,19
64145,393
64146,17
64149,131
64150,204
64151,"1,796"
64152,"1,463"
64153,315
64154,81
64155,518
64156,82
64157,589
64158,43
64161,8
64163,42
64164,7
64165,86
64166,54
64401,335
64429,5
64436,4
64439,109
64443,28
64448,107
64454,169
64463,4
64465,196
64468,11
64477,258
64490,221
64492,47
64493,25
64501,356
64503,341
64504,282
64506,264
64507,444
64644,4
64650,1
64671,32
64701,690
64725,3
64730,3
64734,125
64742,130
64746,224
64747,202
64755,1
64801,3
65101,1
65261,2
65401,2
65536,2
65556,11
65584,2
65613,1
65616,"3,552"
65635,1
65649,1
65672,1
65724,1
65737,4
65742,1
65746,2
65802,"1,029"
65803,658
65804,"1,204"
65806,48
65807,"1,587"
65809,210
65810,"1,271"
66002,612
66006,697
66007,565
66012,47
66013,181
66018,386
66020,17
66021,1
66025,136
66027,75
66030,"1,054"
66031,23
66032,1
66043,243
66044,"1,153"
66045,1
66046,788
66047,821
66048,896
66049,"2,173"
66050,65
66052,75
66053,337
66054,220
66061,"1,836"
66062,"2,656"
66064,183
66066,88
66067,6
66070,47
66071,460
66073,289
66079,4
66083,784
66085,363
66086,382
66087,1
66088,4
66090,203
66092,186
66097,15
66101,150
66102,180
66103,398
66104,409
66105,117
66106,728
66109,800
66111,"1,435"
66112,102
66202,409
66203,439
66204,892
66205,386
66206,752
66207,711
66208,183
66209,912
66210,794
66211,360
66212,"1,058"
66213,"1,257"
66214,391
66215,"1,071"
66216,855
66217,115
66218,422
66219,752
66220,160
66221,709
66223,651
66224,602
66226,657
66227,388
66401,22
66402,1
66451,1
66534,2
66547,3
66607,2
66611,2
66701,1
67063,1
67107,3
67114,2
67357,1
67401,1
68310,2
72012,9
72714,1
72715,3
72745,1
72756,1
Branson,0
Springfield,0
