Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,80.09%,80.09%,No data,No data
bark.com,< 10%,< 10%,8.87%,8.87%,8.88%,8.88%,75.51%,75.51%,36.21%,36.21%
realmediakc.com,< 10%,< 10%,8.17%,8.17%,15.31%,15.31%,79.90%,79.90%,71.00%,71.00%
frostmediagroup.com,< 10%,< 10%,8.18%,8.18%,21.75%,21.75%,78.30%,78.30%,49.30%,49.30%
thumbtack.com,< 10%,< 10%,8.83%,8.83%,10.11%,10.11%,77.94%,77.94%,36.36%,36.36%
upwork.com,< 10%,< 10%,8.84%,8.84%,7.81%,7.81%,88.74%,88.74%,45.10%,45.10%
