Gender,Age Range,Impressions,Percent of known total
Male,18-24,"185,435",92.75%
Male,25-34,"2,136",1.07%
Male,35-44,"1,085",0.54%
Male,45-54,"1,758",0.88%
Male,55-64,"1,556",0.78%
Male,65+,956,0.48%
Female,18-24,762,0.38%
Female,25-34,"1,087",0.54%
Female,35-44,834,0.42%
Female,45-54,707,0.35%
Female,55-64,"2,648",1.32%
Female,65+,964,0.48%
