Age Range,Impressions,Percent of known total
18-24,"236,164",118.12%
25-34,"3,532",1.77%
35-44,"2,037",1.02%
45-54,"2,532",1.27%
55-64,"4,247",2.12%
65+,"1,985",0.99%
