Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"7,798"
10 AM,"7,387"
11 AM,"6,965"
12 PM,"6,852"
1 PM,"7,067"
2 PM,"6,169"
3 PM,"4,962"
4 PM,"3,703"
5 PM,"2,796"
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
