Gender,Age Range,Impressions,Percent of known total
Male,18-24,"2,723",7.22%
Male,25-34,"5,051",13.40%
Male,35-44,"5,047",13.39%
Male,45-54,"4,133",10.96%
Male,55-64,"3,580",9.50%
Male,65+,"3,007",7.98%
Female,18-24,"1,310",3.47%
Female,25-34,"2,875",7.63%
Female,35-44,"2,206",5.85%
Female,45-54,"2,837",7.53%
Female,55-64,"3,100",8.22%
Female,65+,"1,831",4.86%
