Gender,Age Range,Impressions,Percent of known total
Male,18-24,804,5.43%
Male,25-34,"1,722",11.63%
Male,35-44,"1,721",11.62%
Male,45-54,"1,807",12.20%
Male,55-64,"1,711",11.55%
Male,65+,"1,722",11.63%
Female,18-24,220,1.49%
Female,25-34,819,5.53%
Female,35-44,744,5.02%
Female,45-54,"1,085",7.33%
Female,55-64,"1,588",10.72%
Female,65+,867,5.85%
