Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,11.75%,11.75%,No data,No data,No data,No data,84.19%,84.19%,No data,No data
realmediakc.com,< 10%,< 10%,10.77%,10.77%,16.38%,16.38%,75.36%,75.36%,51.05%,51.05%
