Age Range,Impressions,Percent of known total
18-24,"1,196",8.08%
25-34,"2,860",19.31%
35-44,"2,642",17.84%
45-54,"3,286",22.19%
55-64,"3,819",25.79%
65+,"2,800",18.91%
