Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,84.19%,84.19%,No data,No data
frostmediagroup.com,< 10%,< 10%,8.35%,8.35%,11.23%,11.23%,76.60%,76.60%,44.74%,44.74%
realmediakc.com,< 10%,< 10%,8.28%,8.28%,9.31%,9.31%,77.91%,77.91%,63.49%,63.49%
