Age Range,Impressions,Percent of known total
18-24,"4,446",9.89%
25-34,"10,134",22.53%
35-44,"8,270",18.39%
45-54,"8,639",19.21%
55-64,"10,369",23.06%
65+,"10,189",22.65%
