Gender,Age Range,Impressions,Percent of known total
Male,18-24,"2,696",5.99%
Male,25-34,"7,098",15.78%
Male,35-44,"4,454",9.90%
Male,45-54,"5,455",12.13%
Male,55-64,"4,512",10.03%
Male,65+,"5,334",11.86%
Female,18-24,916,2.04%
Female,25-34,"2,019",4.49%
Female,35-44,"2,343",5.21%
Female,45-54,"2,415",5.37%
Female,55-64,"4,000",8.89%
Female,65+,"3,733",8.30%
