Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,20
64012,201
64014,266
64015,234
64016,16
64017,2
64018,1
64019,94
64024,336
64029,163
64030,214
64034,41
64035,8
64037,74
64040,75
64048,9
64050,301
64052,190
64053,54
64054,1
64055,430
64056,215
64057,200
64058,60
64060,119
64061,47
64062,41
64063,34
64064,188
64067,24
64068,385
64070,15
64075,186
64076,100
64077,6
64078,78
64079,170
64080,144
64081,146
64082,120
64083,388
64084,2
64085,56
64086,508
64088,131
64089,111
64093,1
64098,29
64106,65
64108,300
64109,229
64110,148
64111,265
64112,107
64113,124
64114,291
64116,650
64117,261
64118,373
64119,363
64120,58
64123,125
64124,40
64125,28
64126,6
64127,170
64128,3
64129,180
64130,272
64131,334
64132,212
64133,"1,264"
64134,293
64136,11
64137,104
64138,367
64139,28
64145,164
64146,7
64147,19
64149,32
64150,44
64151,371
64152,633
64153,158
64154,146
64155,144
64156,32
64157,222
64158,22
64161,14
64163,11
64164,13
64165,52
64166,7
64167,1
64401,20
64429,4
64439,22
64443,23
64448,2
64454,12
64465,63
64477,78
64490,2
64492,6
64501,140
64503,457
64504,46
64505,2
64506,66
64507,37
64650,11
64671,9
64701,97
64720,1
64734,49
64742,30
64746,14
64747,72
65616,799
65802,323
65803,"1,083"
65804,637
65806,114
65807,"1,492"
65809,79
65810,234
66002,100
66006,50
66007,126
66012,225
66013,14
66016,1
66018,25
66020,9
66025,24
66027,56
66030,189
66031,12
66040,1
66043,24
66044,651
66045,4
66046,81
66047,32
66048,130
66049,105
66050,1
66052,33
66053,46
66054,7
66061,456
66062,"1,154"
66064,68
66066,15
66067,1
66070,7
66071,29
66073,17
66083,124
66085,96
66086,29
66088,2
66090,25
66101,250
66102,251
66103,150
66104,228
66105,60
66106,405
66109,200
66111,343
66112,193
66115,10
66202,208
66203,149
66204,223
66205,87
66206,88
66207,145
66208,135
66209,210
66210,304
66211,101
66212,710
66213,457
66214,140
66215,440
66216,274
66217,21
66218,92
66219,138
66220,49
66221,215
66223,279
66224,188
66226,71
66227,95
66512,3
Branson,0
Springfield,0
