Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"12,695"
10 AM,"10,554"
11 AM,"9,962"
12 PM,"9,353"
1 PM,"6,796"
2 PM,"4,363"
3 PM,"3,039"
4 PM,"1,322"
5 PM,607
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
