Gender,Age Range,Impressions,Percent of known total
Male,18-24,"174,310",91.59%
Male,25-34,"1,761",0.93%
Male,35-44,"1,024",0.54%
Male,45-54,"2,422",1.27%
Male,55-64,"1,372",0.72%
Male,65+,761,0.40%
Female,18-24,"3,021",1.59%
Female,25-34,"2,768",1.45%
Female,35-44,978,0.51%
Female,45-54,676,0.36%
Female,55-64,682,0.36%
Female,65+,544,0.29%
