Date,Clicks,Impressions,Avg. CPC,Cost
"Mon, Dec 25, 2023",27,"16,257",$0.68,$18.26
"Tue, Dec 26, 2023",19,"9,136",$2.06,$39.18
"Wed, Dec 27, 2023",18,"14,971",$1.96,$35.28
"Thu, Dec 28, 2023",25,"9,128",$0.71,$17.80
"Fri, Dec 29, 2023",17,"3,627",$1.45,$24.72
"Sat, Dec 30, 2023",18,"4,838",$0.62,$11.25
"Sun, Dec 31, 2023",30,"7,010",$0.46,$13.67
"Mon, Jan 1, 2024",36,"7,993",$0.47,$16.80
"Tue, Jan 2, 2024",24,"3,763",$1.02,$24.47
"Wed, Jan 3, 2024",7,"1,875",$3.51,$24.59
"Thu, Jan 4, 2024",18,"8,282",$1.16,$20.87
"Fri, Jan 5, 2024",5,922,$2.70,$13.52
"Sat, Jan 6, 2024",19,"7,501",$0.81,$15.42
"Sun, Jan 7, 2024",17,"10,608",$0.61,$10.35
"Mon, Jan 8, 2024",25,"26,250",$0.54,$13.42
"Tue, Jan 9, 2024",47,"25,726",$0.85,$39.85
"Wed, Jan 10, 2024",25,"10,231",$1.14,$28.50
"Thu, Jan 11, 2024",26,"17,984",$1.23,$32.10
"Fri, Jan 12, 2024",8,"2,213",$3.67,$29.35
"Sat, Jan 13, 2024",4,"1,404",$1.60,$6.39
"Sun, Jan 14, 2024",20,"9,395",$0.99,$19.77
"Mon, Jan 15, 2024",18,"8,980",$1.21,$21.81
"Tue, Jan 16, 2024",27,"9,807",$0.61,$16.59
"Wed, Jan 17, 2024",6,"1,591",$3.62,$21.70
"Thu, Jan 18, 2024",17,"6,633",$1.03,$17.44
"Fri, Jan 19, 2024",18,"4,390",$0.61,$11.02
"Sat, Jan 20, 2024",9,"1,310",$1.71,$15.37
"Sun, Jan 21, 2024",7,"3,151",$1.54,$10.77
"Mon, Jan 22, 2024",18,"9,831",$1.86,$33.40
"Tue, Jan 23, 2024",10,"4,152",$1.35,$13.54
