Age Range,Impressions,Percent of known total
18-24,"186,117",97.79%
25-34,"4,759",2.50%
35-44,"2,028",1.07%
45-54,"3,130",1.64%
55-64,"2,079",1.09%
65+,"1,313",0.69%
