Gender,Age Range,Impressions,Percent of known total
Male,18-24,143,8.75%
Male,25-34,228,13.94%
Male,35-44,249,15.23%
Male,45-54,146,8.93%
Male,55-64,122,7.46%
Male,65+,51,3.12%
Female,18-24,129,7.89%
Female,25-34,163,9.97%
Female,35-44,135,8.26%
Female,45-54,133,8.13%
Female,55-64,81,4.95%
Female,65+,55,3.36%
