Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,304
10 AM,320
11 AM,316
12 PM,280
1 PM,276
2 PM,286
3 PM,367
4 PM,177
5 PM,169
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
