Date,Clicks,Impressions,Avg. CPC,Cost
"Mon, Apr 4, 2022",5,46,$11.79,$58.93
"Tue, Apr 5, 2022",5,131,$10.58,$52.90
"Wed, Apr 6, 2022",6,142,$7.33,$43.96
"Thu, Apr 7, 2022",3,108,$2.38,$7.14
"Fri, Apr 8, 2022",5,41,$4.96,$24.82
"Sat, Apr 9, 2022",5,52,$7.39,$36.95
"Sun, Apr 10, 2022",1,47,$1.70,$1.70
"Mon, Apr 11, 2022",10,108,$5.98,$59.81
"Tue, Apr 12, 2022",4,95,$6.08,$24.30
"Wed, Apr 13, 2022",6,133,$5.34,$32.03
"Thu, Apr 14, 2022",5,59,$6.00,$30.02
"Fri, Apr 15, 2022",2,16,$19.99,$39.98
"Sat, Apr 16, 2022",3,33,$6.17,$18.51
"Sun, Apr 17, 2022",0,44,$0.00,$0.00
"Mon, Apr 18, 2022",5,97,$7.63,$38.16
"Tue, Apr 19, 2022",9,152,$4.25,$38.24
"Wed, Apr 20, 2022",7,179,$4.29,$30.06
"Thu, Apr 21, 2022",3,124,$13.90,$41.70
"Fri, Apr 22, 2022",6,76,$5.88,$35.28
"Sat, Apr 23, 2022",3,51,$14.69,$44.08
"Sun, Apr 24, 2022",3,33,$10.36,$31.07
"Mon, Apr 25, 2022",4,105,$7.84,$31.34
"Tue, Apr 26, 2022",5,50,$6.45,$32.26
"Wed, Apr 27, 2022",1,102,$2.25,$2.25
"Thu, Apr 28, 2022",4,30,$8.19,$32.75
"Fri, Apr 29, 2022",1,5,$34.49,$34.49
"Sat, Apr 30, 2022",0,32,$0.00,$0.00
"Sun, May 1, 2022",3,31,$2.57,$7.72
"Mon, May 2, 2022",3,189,$6.77,$20.31
"Tue, May 3, 2022",5,184,$11.97,$59.83
