Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,32.90%,32.90%,No data,No data,No data,No data,76.85%,76.85%,No data,No data
vimeo.com,< 10%,< 10%,31.61%,31.61%,5.34%,5.34%,86.59%,86.59%,73.68%,73.68%
upwork.com,< 10%,< 10%,31.61%,31.61%,7.87%,7.87%,77.27%,77.27%,50.00%,50.00%
hydraulicstudio.com,< 10%,< 10%,31.62%,31.62%,9.28%,9.28%,76.49%,76.49%,41.92%,41.92%
thumbtack.com,< 10%,< 10%,31.73%,31.73%,9.93%,9.93%,73.21%,73.21%,35.85%,35.85%
realmediakc.com,< 10%,< 10%,30.68%,30.68%,15.56%,15.56%,74.91%,74.91%,43.37%,43.37%
