Gender,Age Range,Impressions,Percent of known total
Male,18-24,"620,857",79.77%
Male,25-34,"38,640",4.96%
Male,35-44,"18,684",2.40%
Male,45-54,"15,527",2.00%
Male,55-64,"10,662",1.37%
Male,65+,"7,987",1.03%
Female,18-24,"16,731",2.15%
Female,25-34,"15,871",2.04%
Female,35-44,"12,079",1.55%
Female,45-54,"7,440",0.96%
Female,55-64,"7,214",0.93%
Female,65+,"6,573",0.84%
