Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"84,425"
10 AM,"63,513"
11 AM,"36,143"
12 PM,"17,608"
1 PM,"3,409"
2 PM,"1,098"
3 PM,765
4 PM,131
5 PM,81
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
