Gender,Age Range,Impressions,Percent of known total
Male,18-24,"56,990",83.19%
Male,25-34,"1,890",2.76%
Male,35-44,"1,024",1.49%
Male,45-54,"1,175",1.72%
Male,55-64,653,0.95%
Male,65+,370,0.54%
Female,18-24,"2,516",3.67%
Female,25-34,"1,221",1.78%
Female,35-44,"1,331",1.94%
Female,45-54,505,0.74%
Female,55-64,387,0.56%
Female,65+,447,0.65%
