Date,Clicks,Impressions,Avg. CPC,Cost
"Sat, Nov 25, 2023",13,"12,293",$1.51,$19.62
"Sun, Nov 26, 2023",8,"3,853",$1.31,$10.49
"Mon, Nov 27, 2023",15,"4,439",$1.98,$29.68
"Tue, Nov 28, 2023",12,"4,612",$0.97,$11.64
"Wed, Nov 29, 2023",22,"6,252",$1.08,$23.79
"Thu, Nov 30, 2023",20,"10,105",$2.00,$39.96
"Fri, Dec 1, 2023",11,"1,200",$2.20,$24.25
"Sat, Dec 2, 2023",14,"5,495",$1.64,$22.95
"Sun, Dec 3, 2023",24,"9,459",$1.06,$25.40
"Mon, Dec 4, 2023",17,"7,236",$1.64,$27.94
"Tue, Dec 5, 2023",9,"2,614",$1.97,$17.74
"Wed, Dec 6, 2023",15,"2,297",$1.52,$22.84
"Thu, Dec 7, 2023",11,"3,492",$1.42,$15.61
"Fri, Dec 8, 2023",17,"7,257",$1.22,$20.76
"Sat, Dec 9, 2023",25,"8,385",$0.87,$21.71
"Sun, Dec 10, 2023",21,"4,223",$0.70,$14.69
"Mon, Dec 11, 2023",10,"4,018",$2.18,$21.78
"Tue, Dec 12, 2023",14,"2,344",$1.55,$21.70
"Wed, Dec 13, 2023",12,"4,695",$1.75,$21.03
"Thu, Dec 14, 2023",13,"5,283",$1.26,$16.35
"Fri, Dec 15, 2023",12,"11,853",$0.73,$8.80
"Sat, Dec 16, 2023",16,"8,642",$0.69,$11.06
"Sun, Dec 17, 2023",14,"4,322",$0.97,$13.60
"Mon, Dec 18, 2023",10,"2,602",$1.68,$16.84
"Tue, Dec 19, 2023",15,"9,811",$0.92,$13.74
"Wed, Dec 20, 2023",10,"4,847",$1.14,$11.42
"Thu, Dec 21, 2023",15,"6,036",$1.21,$18.12
"Fri, Dec 22, 2023",19,"12,053",$0.97,$18.41
"Sat, Dec 23, 2023",24,"16,762",$0.91,$21.83
"Sun, Dec 24, 2023",26,"20,693",$0.75,$19.63
