Age Range,Impressions,Percent of known total
18-24,"237,100","1,348.00%"
25-34,"3,352",19.06%
35-44,"2,773",15.77%
45-54,"3,324",18.90%
55-64,"4,054",23.05%
65+,"2,397",13.63%
