Gender,Age Range,Impressions,Percent of known total
Male,18-24,"1,871",10.64%
Male,25-34,"2,114",12.02%
Male,35-44,"1,826",10.38%
Male,45-54,"1,791",10.18%
Male,55-64,"1,877",10.67%
Male,65+,797,4.53%
Female,18-24,812,4.62%
Female,25-34,826,4.70%
Female,35-44,799,4.54%
Female,45-54,"1,328",7.55%
Female,55-64,"2,067",11.75%
Female,65+,"1,481",8.42%
