Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,100
64012,"1,191"
64014,863
64015,"1,383"
64016,21
64018,32
64019,3
64020,2
64024,607
64029,"1,160"
64030,332
64034,473
64037,223
64040,298
64048,420
64050,589
64052,391
64053,86
64054,52
64055,941
64056,570
64057,508
64058,132
64060,"1,115"
64061,46
64062,161
64063,434
64064,384
64067,176
64068,"1,947"
64070,139
64075,318
64076,268
64077,74
64078,608
64079,765
64080,614
64081,503
64082,496
64083,825
64084,4
64085,425
64086,"1,424"
64088,172
64089,839
64093,25
64097,31
64098,120
64106,260
64108,660
64109,147
64110,251
64111,684
64112,404
64113,460
64114,796
64116,935
64117,198
64118,854
64119,636
64120,98
64123,177
64124,26
64125,12
64126,22
64127,241
64128,41
64129,309
64130,199
64131,593
64132,450
64133,"1,839"
64134,247
64136,2
64137,389
64138,705
64139,11
64145,304
64146,42
64149,91
64150,105
64151,"1,571"
64152,"1,291"
64153,362
64154,62
64155,530
64156,54
64157,404
64158,95
64161,10
64163,27
64164,20
64165,26
64166,2
64401,99
64429,3
64439,102
64448,73
64454,83
64465,224
64477,258
64490,90
64492,57
64493,28
64501,356
64503,400
64504,148
64505,10
64506,164
64507,481
64671,73
64701,620
64734,109
64742,126
64746,128
64747,157
65616,"2,943"
65802,"1,264"
65803,972
65804,"1,312"
65806,241
65807,"1,772"
65809,309
65810,"1,273"
66002,686
66006,599
66007,511
66012,49
66013,163
66018,406
66020,90
66021,12
66025,105
66027,66
66030,"1,511"
66031,38
66040,2
66043,242
66044,"5,020"
66045,16
66046,731
66047,298
66048,"1,055"
66049,"1,406"
66050,46
66052,91
66053,362
66054,135
66061,"2,672"
66062,"2,999"
66064,269
66066,61
66067,59
66070,87
66071,458
66073,97
66083,825
66085,591
66086,254
66088,3
66090,188
66092,298
66097,3
66101,116
66102,268
66103,562
66104,424
66105,85
66106,575
66109,903
66111,"1,290"
66112,68
66115,14
66202,331
66203,563
66204,950
66205,326
66206,"1,107"
66207,609
66208,242
66209,"1,081"
66210,"1,045"
66211,719
66212,"1,323"
66213,"1,422"
66214,272
66215,"1,316"
66216,791
66217,84
66218,315
66219,849
66220,184
66221,876
66223,979
66224,"1,130"
66226,668
66227,368
Branson,0
Springfield,0
