Date,Clicks,Impressions,Avg. CPC,Cost
"Sat, Apr 29, 2023",12,"9,319",$1.28,$15.30
"Sun, Apr 30, 2023",10,"18,403",$1.64,$16.44
"Mon, May 1, 2023",11,"7,953",$1.21,$13.31
"Tue, May 2, 2023",13,"7,701",$1.15,$14.99
"Wed, May 3, 2023",18,"10,993",$0.94,$16.91
"Thu, May 4, 2023",13,"11,599",$0.79,$10.27
"Fri, May 5, 2023",13,"11,144",$0.79,$10.28
"Sat, May 6, 2023",16,"9,913",$1.07,$17.06
"Sun, May 7, 2023",8,"3,919",$1.52,$12.15
"Mon, May 8, 2023",16,"13,599",$1.56,$24.98
"Tue, May 9, 2023",21,"6,270",$1.80,$37.84
"Wed, May 10, 2023",21,"8,327",$1.14,$23.91
"Thu, May 11, 2023",19,"9,763",$1.32,$25.02
"Fri, May 12, 2023",24,"17,087",$1.70,$40.75
"Sat, May 13, 2023",22,"9,181",$1.38,$30.30
"Sun, May 14, 2023",14,"9,057",$1.29,$18.05
"Mon, May 15, 2023",5,"2,104",$3.92,$19.58
"Tue, May 16, 2023",10,"6,105",$2.23,$22.27
"Wed, May 17, 2023",15,"5,889",$1.35,$20.28
"Thu, May 18, 2023",13,"7,091",$1.20,$15.54
"Fri, May 19, 2023",9,"3,397",$1.40,$12.59
"Sat, May 20, 2023",17,"8,364",$0.86,$14.61
"Sun, May 21, 2023",10,"3,907",$1.15,$11.54
"Mon, May 22, 2023",14,"9,133",$0.82,$11.45
"Tue, May 23, 2023",17,"10,660",$1.04,$17.68
"Wed, May 24, 2023",22,"9,659",$1.01,$22.12
"Thu, May 25, 2023",15,"7,592",$1.36,$20.34
"Fri, May 26, 2023",26,"8,693",$1.01,$26.35
"Sat, May 27, 2023",15,"5,170",$0.75,$11.23
"Sun, May 28, 2023",17,"6,508",$0.70,$11.98
