Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,"15,338"
10 AM,"9,561"
11 AM,471
12 PM,193
1 PM,212
2 PM,196
3 PM,149
4 PM,123
5 PM,118
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
