Gender,Age Range,Impressions,Percent of known total
Male,18-24,"1,508",7.26%
Male,25-34,"3,679",17.72%
Male,35-44,"3,275",15.77%
Male,45-54,"1,683",8.11%
Male,55-64,"1,197",5.77%
Male,65+,886,4.27%
Female,18-24,873,4.20%
Female,25-34,"2,299",11.07%
Female,35-44,"1,976",9.52%
Female,45-54,"1,210",5.83%
Female,55-64,"1,190",5.73%
Female,65+,987,4.75%
