Age Range,Impressions,Percent of known total
18-24,"2,409",11.60%
25-34,"6,031",29.05%
35-44,"5,333",25.69%
45-54,"2,916",14.04%
55-64,"2,451",11.80%
65+,"1,876",9.04%
