Location Name,Impressions
"40.0 mi around Kansas City, KS",0
"40.0 mi around Kansas City, MO",0
64011,53
64012,668
64014,518
64015,781
64016,82
64018,29
64019,21
64024,130
64029,721
64030,187
64034,239
64035,30
64037,136
64040,183
64048,58
64050,492
64052,198
64053,57
64054,20
64055,558
64056,489
64057,298
64058,62
64060,559
64061,45
64062,108
64063,248
64064,321
64067,79
64068,"1,322"
64070,68
64071,1
64075,173
64076,202
64077,36
64078,448
64079,444
64080,216
64081,387
64082,256
64083,477
64084,6
64085,258
64086,"1,034"
64088,22
64089,676
64093,32
64097,31
64098,74
64106,129
64108,448
64109,94
64110,237
64111,298
64112,206
64113,206
64114,555
64116,508
64117,127
64118,722
64119,410
64120,46
64123,67
64124,18
64125,31
64126,5
64127,63
64128,25
64129,324
64130,118
64131,499
64132,186
64133,"1,000"
64134,225
64137,144
64138,492
64139,7
64145,252
64146,19
64149,33
64150,62
64151,"1,161"
64152,698
64153,147
64154,76
64155,198
64156,12
64157,256
64158,65
64161,9
64163,106
64164,16
64165,14
64166,35
64401,18
64429,15
64439,51
64440,6
64443,2
64448,39
64454,68
64465,137
64477,113
64490,31
64492,40
64493,4
64501,263
64503,319
64504,163
64506,274
64507,401
64624,19
64671,96
64701,392
64734,70
64742,88
64746,15
64747,108
65616,"1,828"
65802,741
65803,661
65804,845
65806,149
65807,"1,156"
65809,227
65810,710
66002,422
66006,485
66007,230
66012,245
66013,81
66016,2
66018,254
66020,3
66021,3
66025,61
66027,63
66030,864
66031,18
66043,194
66044,"2,723"
66045,16
66046,387
66047,225
66048,443
66049,723
66050,16
66052,30
66053,213
66054,38
66061,"1,581"
66062,"1,698"
66064,142
66066,43
66067,19
66070,48
66071,170
66073,83
66079,7
66083,391
66085,360
66086,167
66088,19
66090,116
66092,150
66097,22
66101,185
66102,199
66103,347
66104,378
66105,16
66106,375
66109,318
66111,760
66112,74
66115,30
66202,306
66203,198
66204,685
66205,296
66206,750
66207,443
66208,141
66209,623
66210,684
66211,290
66212,968
66213,854
66214,273
66215,998
66216,392
66217,42
66218,178
66219,391
66220,119
66221,623
66223,510
66224,501
66226,365
66227,211
66429,2
66512,4
66524,3
Branson,0
Springfield,0
