Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,85.57%,85.57%,No data,No data
upwork.com,< 10%,< 10%,8.26%,8.26%,6.77%,6.77%,86.70%,86.70%,82.61%,82.61%
