Date,Clicks,Impressions,Avg. CPC,Cost
"Thu, Mar 30, 2023",7,659,$0.76,$5.35
"Fri, Mar 31, 2023",12,"1,511",$2.90,$34.82
"Sat, Apr 1, 2023",7,"3,256",$1.98,$13.83
"Sun, Apr 2, 2023",12,864,$2.69,$32.23
"Mon, Apr 3, 2023",8,149,$3.14,$25.15
"Tue, Apr 4, 2023",3,157,$8.38,$25.13
"Wed, Apr 5, 2023",3,82,$9.16,$27.47
"Thu, Apr 6, 2023",5,344,$4.40,$22.00
"Fri, Apr 7, 2023",6,289,$3.24,$19.43
"Sat, Apr 8, 2023",6,976,$2.18,$13.05
"Sun, Apr 9, 2023",14,"3,931",$0.99,$13.80
"Mon, Apr 10, 2023",10,"1,205",$1.98,$19.84
"Tue, Apr 11, 2023",5,254,$4.13,$20.64
"Wed, Apr 12, 2023",5,714,$2.20,$11.02
"Thu, Apr 13, 2023",16,"7,783",$1.35,$21.59
"Fri, Apr 14, 2023",12,"10,615",$1.71,$20.51
"Sat, Apr 15, 2023",20,"10,628",$0.81,$16.17
"Sun, Apr 16, 2023",21,"8,795",$0.70,$14.61
"Mon, Apr 17, 2023",24,"6,638",$1.12,$26.92
"Tue, Apr 18, 2023",23,"9,436",$1.67,$38.43
"Wed, Apr 19, 2023",25,"9,693",$1.13,$28.25
"Thu, Apr 20, 2023",6,"1,453",$2.75,$16.50
"Fri, Apr 21, 2023",15,"5,545",$0.90,$13.43
"Sat, Apr 22, 2023",18,"4,824",$1.21,$21.75
"Sun, Apr 23, 2023",14,"7,315",$1.21,$16.97
"Mon, Apr 24, 2023",19,"6,643",$1.13,$21.48
"Tue, Apr 25, 2023",14,"11,905",$1.18,$16.46
"Wed, Apr 26, 2023",19,"17,956",$0.74,$14.05
"Thu, Apr 27, 2023",16,"13,466",$1.49,$23.78
"Fri, Apr 28, 2023",12,"7,553",$1.22,$14.67
