Gender,Age Range,Impressions,Percent of known total
Male,18-24,"1,560",11.78%
Male,25-34,"1,472",11.12%
Male,35-44,921,6.96%
Male,45-54,"1,510",11.40%
Male,55-64,"1,374",10.38%
Male,65+,"1,297",9.80%
Female,18-24,507,3.83%
Female,25-34,679,5.13%
Female,35-44,406,3.07%
Female,45-54,785,5.93%
Female,55-64,"1,803",13.62%
Female,65+,927,7.00%
