Age Range,Impressions,Percent of known total
18-24,"136,032","1,027.35%"
25-34,"2,361",17.83%
35-44,"1,387",10.48%
45-54,"2,508",18.94%
55-64,"3,313",25.02%
65+,"2,376",17.94%
