Gender,Age Range,Impressions,Percent of known total
Male,18-24,"170,157",93.47%
Male,25-34,"1,617",0.89%
Male,35-44,"1,126",0.62%
Male,45-54,"1,383",0.76%
Male,55-64,"1,438",0.79%
Male,65+,545,0.30%
Female,18-24,684,0.38%
Female,25-34,857,0.47%
Female,35-44,578,0.32%
Female,45-54,742,0.41%
Female,55-64,"1,632",0.90%
Female,65+,"1,277",0.70%
