Age Range,Impressions,Percent of known total
18-24,"204,112",112.13%
25-34,"2,853",1.57%
35-44,"1,900",1.04%
45-54,"2,264",1.24%
55-64,"3,126",1.72%
65+,"1,856",1.02%
