Start Hour,Impressions
12 AM,0
1 AM,0
2 AM,0
3 AM,0
4 AM,0
5 AM,0
6 AM,0
7 AM,0
8 AM,0
9 AM,226
10 AM,230
11 AM,259
12 PM,249
1 PM,259
2 PM,272
3 PM,256
4 PM,165
5 PM,96
6 PM,0
7 PM,0
8 PM,0
9 PM,0
10 PM,0
11 PM,0
