Gender,Age Range,Impressions,Percent of known total
Male,18-24,116,9.18%
Male,25-34,193,15.27%
Male,35-44,161,12.74%
Male,45-54,168,13.29%
Male,55-64,98,7.75%
Male,65+,60,4.75%
Female,18-24,74,5.85%
Female,25-34,108,8.54%
Female,35-44,82,6.49%
Female,45-54,90,7.12%
Female,55-64,70,5.54%
Female,65+,44,3.48%
